colony_id,partner,site,species,AFDW.mg.cm2,timepoint,DW.mg.cm2
POR-381,Host,site3,Porites,4.916366747967298,timepoint4,283.8274180583609
POR-381,Sym,site3,Porites,2.174100861424284,timepoint4,329.5936905919155
POR-383,Host,site3,Porites,6.570767554370139,timepoint4,510.58729054840603
POR-383,Sym,site3,Porites,4.294619316581864,timepoint4,624.2766004066168
POR-384,Host,site3,Porites,8.33886331572544,timepoint4,646.8805968276376
POR-384,Sym,site3,Porites,4.7746717372299194,timepoint4,776.9265152143316
POR-385,Host,site3,Porites,8.765714645337122,timepoint4,594.9790720287054
POR-385,Sym,site3,Porites,5.880952622224825,timepoint4,717.7238389692038
POR-388,Host,NA,NA,NA,timepoint4,NA
POR-42,Sym,NA,NA,NA,timepoint4,NA
POR-55,Host,NA,NA,NA,timepoint4,NA
POR-55,Sym,NA,NA,NA,timepoint4,NA
POR-69,Host,site1,Porites,4.12505662354242,timepoint4,239.51360327277231
POR-69,Sym,site1,Porites,3.3040502081772156,timepoint4,295.58734021488254
POR-70,Host,site1,Porites,9.079295065727113,timepoint4,424.6893884878131
POR-70,Sym,site1,Porites,6.523509249981222,timepoint4,523.9807737981425
POR-71,Host,site1,Porites,6.035129764998426,timepoint4,645.1713943467433
POR-71,Sym,site1,Porites,5.340822800883673,timepoint4,773.751703278017
POR-72,Host,site1,Porites,6.133424266571741,timepoint4,328.0834355449195
POR-72,Sym,site1,Porites,4.9628711978397995,timepoint4,402.8140077750122
POR-73,Host,site1,Porites,5.091646071841891,timepoint4,404.3042205154462
POR-73,Sym,site1,Porites,5.418474704831776,timepoint4,500.3058310794653
POR-74,Host,site1,Porites,10.1287737599284,timepoint4,550.3750577283764
POR-74,Sym,site1,Porites,9.397251210600139,timepoint4,653.3059075153823
POR-75,Host,site1,Porites,NA,timepoint4,NA
POR-75,Sym,site1,Porites,NA,timepoint4,NA
POR-79,Host,site1,Porites,4.106138493687576,timepoint4,343.18064537383486
POR-79,Sym,site1,Porites,4.229033483815574,timepoint4,420.44544857899893
POR-81,Host,site1,Porites,7.366061472664521,timepoint4,402.08077894481386
POR-81,Sym,site1,Porites,5.557726561582481,timepoint4,482.23646814566666
POR-82,Host,site1,Porites,5.980136839871425,timepoint4,195.52169325654435
POR-82,Sym,site1,Porites,4.077366027185069,timepoint4,238.46595132521986
POR-83,Host,site1,Porites,7.172645429594732,timepoint4,370.18820022741426
POR-83,Sym,site1,Porites,3.7932259483433746,timepoint4,445.99141453248967
